athlete.sex,average_speed,distance,type
M,8.287,57074.6,Ride
M,3.5860000000000003,42453.9,Ride
F,3.287,10080.2,Run
F,2.4290000000000003,5245.2,Run
M,6.521,306714.0,Ride
F,2.222,4029.1,Run
F,2.4130000000000003,3086.0,Run
M,1.4069999999999998,5581.5,Run
F,1.66,2627.8,Run
F,2.454,1693.3,Run
F,3.18,7587.9,Ride
F,2.323,4996.0,Run
F,1.7,4774.3,Run
F,5.358,16336.9,Ride
M,8.088,62421.9,Ride
F,5.227,15847.1,Ride
M,3.045,21218.4,Run
M,4.474,29964.4,Ride
F,4.851,54665.0,Ride
M,3.177,6134.3,Run
F,0.639,1609.3,Swim
M,3.7760000000000002,14760.4,Ride
M,7.47,27077.1,Ride
F,7.769,49235.2,Ride
M,9.295,33480.3,Ride
F,2.6069999999999998,6152.0,Run
F,3.322,45028.6,Ride
M,8.747,45939.4,Ride
M,8.026,36463.4,Ride
F,2.194,1950.7,Run
F,1.7819999999999998,2587.2,Run
M,2.943,13297.4,Run
M,2.806,3005.5,Run
F,2.18,2920.8,Run
F,2.4290000000000003,7582.5,Run
M,7.995,16461.1,Ride
M,3.592,10230.1,Run
M,7.05,42944.4,Ride
M,3.048,7159.8,Run
M,3.722,14716.3,Run
F,2.396,5247.4,Run
M,3.1639999999999997,11133.1,Run
M,2.971,35376.4,NordicSki
M,7.53,25608.2,Ride
M,5.242999999999999,32004.5,Ride
F,3.8280000000000003,918.7,Ride
M,2.457,6803.5,Run
F,4.978,10637.6,Ride
F,1.3659999999999999,4829.2,Walk
F,0.563,548.6,Swim
M,2.682,10997.3,Run
M,6.631,8725.8,Ride
F,2.3930000000000002,5583.5,Run
M,3.741,6497.5,Run
F,1.188,8374.4,Hike
F,0.0,0.0,Ride
M,4.159,24280.4,Ride
M,5.374,49758.7,Ride
M,8.022,75880.8,Ride
M,6.269,5153.3,Ride
F,7.155,82192.3,Ride
F,2.863,52005.8,Ride
M,0.0,0.0,Workout
F,2.085,323.1,Run
M,4.391,3227.1,Ride
M,4.824,11891.7,Ride
M,0.0,0.0,Ride
M,7.435,21331.1,Ride
F,2.779,3606.8,Run
M,7.502999999999999,63981.2,Ride
F,1.976,4043.7,Walk
M,8.232999999999999,40646.1,Ride
M,7.582999999999999,45917.3,Ride
M,8.336,68819.3,Ride
M,7.805,66723.6,Ride
M,7.654,45941.0,Ride
F,2.292,632.6,Run
F,3.284,7828.0,Run
F,3.841,21031.3,Ride
F,2.818,10043.8,Run
F,3.628,8054.8,Run
M,8.464,109054.0,Ride
M,0.0,0.0,Run
F,2.96,6553.6,Run
M,5.266,14919.8,Ride
M,6.9639999999999995,480.5,Ride
M,7.245,106726.0,Ride
M,11.145999999999999,109206.0,Ride
F,2.509,7592.4,Run
F,2.4530000000000003,3415.1,Run
M,6.457000000000001,15256.9,Ride
M,6.294,34093.4,Ride
F,6.085,21041.0,Ride
M,6.7170000000000005,28796.1,Ride
M,3.576,9656.1,Run
F,4.5680000000000005,13068.4,Ride
F,2.855,8222.6,Run
F,4.602,14772.1,Ride
M,2.911,3795.4,Run
M,7.477,16030.4,Ride
M,1.8359999999999999,6060.1,Run
M,8.04,52212.4,Ride
M,5.166,9726.9,Ride
F,0.0,0.0,Ride
F,5.812,9147.4,Ride
M,3.245,4111.8,Run
M,5.379,36905.4,Ride
F,5.718999999999999,8281.6,Ride
F,3.353,8046.7,Run
F,2.23,4334.5,Run
F,2.184,8698.1,Run
M,2.8810000000000002,9024.6,Run
F,1.9469999999999998,5039.9,Run
F,5.191,16430.3,Ride
M,5.355,32079.1,Ride
M,2.525,6689.0,NordicSki
M,3.551,6722.8,Ride
M,8.368,52886.7,Ride
M,0.0,0.0,Ride
M,1.6780000000000002,6396.5,Run
F,7.412999999999999,85869.3,Ride
F,8.083,9700.0,Ride
F,2.17,27232.1,Run
F,0.0,0.0,Run
M,6.664,28321.9,Ride
M,5.003,15314.9,Ride
M,0.835,1000.0,Swim
F,4.522,8279.7,Ride
M,7.827000000000001,159703.0,Ride
F,2.444,4848.4,Run
M,3.989,15014.1,Ride
F,1.11,3759.7,Run
M,5.996,36479.3,Ride
F,2.051,3927.1,Run
F,0.914,4008.6,Swim
F,3.7230000000000003,6321.8,Ride
M,7.015,53995.9,Ride
M,3.49,6037.6,Run
M,5.687,938421.0,Ride
F,1.1640000000000001,32176.3,Run
F,0.9890000000000001,2511.9,Swim
F,3.262,6455.4,Run
F,5.14,54328.8,Ride
M,6.751,15175.5,Ride
M,1.801,1049.8,Walk
M,5.407,18573.4,Ride
M,0.0,0.0,IceSkate
F,6.765,8063.4,Ride
M,8.702,9580.5,Ride
F,1.435,7718.0,Hike
M,6.282,7118.0,Ride
F,2.8569999999999998,9600.0,Run
M,2.352,14743.1,Run
F,4.0,5000.0,Run
F,2.468,241.9,Run
M,3.5210000000000004,26751.9,Ride
M,6.274,6951.3,Ride
F,6.906000000000001,66226.8,Ride
M,7.375,22125.9,Ride
F,0.0,0.0,Run
M,12.446,45737.8,Ride
M,5.282,53688.8,Ride
F,6.574,48119.5,Ride
F,4.362,8750.9,Ride
F,7.282,69130.9,Ride
F,3.114,12871.0,Run
M,8.033999999999999,59130.4,Ride
M,6.505,55984.8,Ride
M,6.151,12713.6,Ride
F,3.281,5181.0,Run
F,1.3519999999999999,9510.1,Walk
F,3.867,33821.0,Ride
F,2.795,9614.9,Run
M,5.912999999999999,6178.9,Ride
M,5.938,37690.1,Ride
F,3.267,7188.0,Run
F,4.186,5491.6,Ride
M,3.429,21194.1,Ride
M,6.155,13344.3,Ride
M,2.8169999999999997,10789.7,Run
M,5.346,25089.3,Ride
M,5.8260000000000005,4911.6,Ride
M,6.73,14805.7,VirtualRide
M,5.978,9504.4,Ride
M,10.81,83315.8,Ride
F,5.2,11626.6,Swim
F,3.887,19479.6,Ride
M,1.9609999999999999,4789.6,Run
F,6.1370000000000005,20331.9,Ride
M,2.222,16351.2,Ride
M,5.496,43119.1,Ride
F,3.8569999999999998,6437.4,Run
F,3.115,12588.1,Ride
M,5.5520000000000005,39091.0,Ride
F,1.304,3644.0,Run
F,2.833,7982.6,Run
F,2.54,6150.3,Run
M,3.9219999999999997,5051.7,Run
F,2.369,6426.7,Run
M,8.702,29281.5,Ride
F,3.065,5012.0,Run
F,1.128,2827.1,Run
M,4.6160000000000005,8078.3,Ride
F,7.309,50608.9,Ride
F,3.842,18297.6,Ride
M,3.572,5108.2,Ride
M,2.481,8238.4,Run
M,7.062,19943.9,Ride
F,2.9989999999999997,1898.6,Ride
M,6.74,29979.2,Ride
M,5.517,15410.2,IceSkate
